to_node from_node capacity prob_failure
4 0 1000000000 0.004
5 0 1000000000 0.004
8 0 1000000000 0.004
9 0 1000000000 0.004
11 0 1000000000 0.004
21 0 1000000000 0.004
22 0 1000000000 0.004
3 1 1000000000 0.004
6 1 1000000000 0.004
9 1 1000000000 0.004
12 1 1000000000 0.004
18 1 1000000000 0.004
21 1 1000000000 0.004
0 2 1000000000 0.004
4 2 1000000000 0.004
6 2 1000000000 0.004
10 2 1000000000 0.004
12 2 1000000000 0.004
15 2 1000000000 0.004
20 2 1000000000 0.004
23 2 1000000000 0.004
2 3 1000000000 0.004
9 3 1000000000 0.004
10 3 1000000000 0.004
11 3 1000000000 0.004
13 3 1000000000 0.004
14 3 1000000000 0.004
20 3 1000000000 0.004
21 3 1000000000 0.004
23 3 1000000000 0.004
0 4 1000000000 0.004
5 4 1000000000 0.004
14 4 1000000000 0.004
16 4 1000000000 0.004
23 4 1000000000 0.004
1 5 1000000000 0.004
4 5 1000000000 0.004
7 5 1000000000 0.004
8 5 1000000000 0.004
9 5 1000000000 0.004
17 5 1000000000 0.004
18 5 1000000000 0.004
24 5 1000000000 0.004
0 6 1000000000 0.004
3 6 1000000000 0.004
5 6 1000000000 0.004
7 6 1000000000 0.004
9 6 1000000000 0.004
10 6 1000000000 0.004
16 6 1000000000 0.004
17 6 1000000000 0.004
19 6 1000000000 0.004
21 6 1000000000 0.004
22 6 1000000000 0.004
1 7 1000000000 0.004
12 7 1000000000 0.004
14 7 1000000000 0.004
19 7 1000000000 0.004
22 7 1000000000 0.004
11 8 1000000000 0.004
18 8 1000000000 0.004
21 8 1000000000 0.004
2 9 1000000000 0.004
6 9 1000000000 0.004
7 9 1000000000 0.004
10 9 1000000000 0.004
24 9 1000000000 0.004
1 10 1000000000 0.004
4 10 1000000000 0.004
11 10 1000000000 0.004
12 10 1000000000 0.004
14 10 1000000000 0.004
15 10 1000000000 0.004
18 10 1000000000 0.004
20 10 1000000000 0.004
23 10 1000000000 0.004
1 11 1000000000 0.004
2 11 1000000000 0.004
6 11 1000000000 0.004
10 11 1000000000 0.004
18 11 1000000000 0.004
19 11 1000000000 0.004
23 11 1000000000 0.004
0 12 1000000000 0.004
4 12 1000000000 0.004
6 12 1000000000 0.004
15 12 1000000000 0.004
16 12 1000000000 0.004
20 12 1000000000 0.004
24 12 1000000000 0.004
2 13 1000000000 0.004
6 13 1000000000 0.004
14 13 1000000000 0.004
15 13 1000000000 0.004
18 13 1000000000 0.004
19 13 1000000000 0.004
20 13 1000000000 0.004
21 13 1000000000 0.004
24 13 1000000000 0.004
0 14 1000000000 0.004
2 14 1000000000 0.004
3 14 1000000000 0.004
5 14 1000000000 0.004
11 14 1000000000 0.004
15 14 1000000000 0.004
16 14 1000000000 0.004
21 14 1000000000 0.004
22 14 1000000000 0.004
1 15 1000000000 0.004
4 15 1000000000 0.004
7 15 1000000000 0.004
8 15 1000000000 0.004
18 15 1000000000 0.004
20 15 1000000000 0.004
22 15 1000000000 0.004
23 15 1000000000 0.004
0 16 1000000000 0.004
2 16 1000000000 0.004
3 16 1000000000 0.004
5 16 1000000000 0.004
7 16 1000000000 0.004
8 16 1000000000 0.004
10 16 1000000000 0.004
12 16 1000000000 0.004
14 16 1000000000 0.004
17 16 1000000000 0.004
2 17 1000000000 0.004
3 17 1000000000 0.004
13 17 1000000000 0.004
21 17 1000000000 0.004
23 17 1000000000 0.004
1 18 1000000000 0.004
2 18 1000000000 0.004
4 18 1000000000 0.004
13 18 1000000000 0.004
15 18 1000000000 0.004
17 18 1000000000 0.004
20 18 1000000000 0.004
9 19 1000000000 0.004
10 19 1000000000 0.004
11 19 1000000000 0.004
14 19 1000000000 0.004
15 19 1000000000 0.004
20 19 1000000000 0.004
21 19 1000000000 0.004
22 19 1000000000 0.004
14 20 1000000000 0.004
19 20 1000000000 0.004
23 20 1000000000 0.004
24 20 1000000000 0.004
2 21 1000000000 0.004
9 21 1000000000 0.004
13 21 1000000000 0.004
16 21 1000000000 0.004
19 21 1000000000 0.004
23 21 1000000000 0.004
0 22 1000000000 0.004
2 22 1000000000 0.004
3 22 1000000000 0.004
5 22 1000000000 0.004
11 22 1000000000 0.004
16 22 1000000000 0.004
23 22 1000000000 0.004
0 23 1000000000 0.004
2 23 1000000000 0.004
8 23 1000000000 0.004
9 23 1000000000 0.004
12 23 1000000000 0.004
14 23 1000000000 0.004
21 23 1000000000 0.004
22 23 1000000000 0.004
24 23 1000000000 0.004
1 24 1000000000 0.004
4 24 1000000000 0.004
6 24 1000000000 0.004
13 24 1000000000 0.004
15 24 1000000000 0.004
17 24 1000000000 0.004
21 24 1000000000 0.004
