to_node from_node capacity prob_failure
8 0 1055826685 0.004
16 0 920812814 0.004
28 0 1007749293 0.004
37 0 944336571 0.004
38 0 1046792368 0.004
48 0 984214716 0.004
49 0 987383415 0.004
58 0 1099363131 0.004
61 0 1036152180 0.004
62 0 972376339 0.004
72 0 1027675685 0.004
74 0 901461396 0.004
83 0 947273319 0.004
84 0 941445603 0.004
88 0 912581851 0.004
89 0 943618459 0.004
94 0 1040565762 0.004
10 1 1002428275 0.004
17 1 1049034807 0.004
22 1 990845810 0.004
23 1 1022506586 0.004
27 1 1040707615 0.004
28 1 953179259 0.004
33 1 1024393248 0.004
50 1 1052623970 0.004
54 1 1064909751 0.004
55 1 1083004873 0.004
56 1 965002103 0.004
61 1 956142948 0.004
65 1 970054144 0.004
70 1 987230066 0.004
73 1 1080960980 0.004
74 1 1058899510 0.004
80 1 1019628398 0.004
92 1 1062220008 0.004
95 1 1030875578 0.004
14 2 932619236 0.004
19 2 1040518045 0.004
21 2 971717684 0.004
22 2 1097348008 0.004
25 2 914563881 0.004
26 2 1087963060 0.004
29 2 1049448727 0.004
30 2 996481901 0.004
31 2 1036726897 0.004
32 2 928955605 0.004
35 2 1026756870 0.004
36 2 974294657 0.004
48 2 1086127086 0.004
49 2 1091086910 0.004
50 2 998301775 0.004
51 2 1067192906 0.004
53 2 1015338591 0.004
55 2 950983735 0.004
68 2 979621619 0.004
71 2 1076597018 0.004
73 2 962093357 0.004
78 2 1043541955 0.004
82 2 1078286755 0.004
2 3 933691523 0.004
4 3 1097243102 0.004
12 3 1024481690 0.004
15 3 963272487 0.004
17 3 1091402043 0.004
19 3 1007685158 0.004
25 3 1016284558 0.004
30 3 1006286766 0.004
34 3 1009559782 0.004
35 3 1018203474 0.004
36 3 939385828 0.004
37 3 1006707264 0.004
40 3 958126251 0.004
50 3 1037240832 0.004
56 3 987194256 0.004
58 3 911280686 0.004
60 3 985533479 0.004
61 3 984925496 0.004
65 3 1033347355 0.004
67 3 921186881 0.004
68 3 1070695634 0.004
74 3 917091096 0.004
82 3 1081665627 0.004
87 3 991739096 0.004
89 3 1096164466 0.004
90 3 971711230 0.004
91 3 963866730 0.004
92 3 947972340 0.004
93 3 939738765 0.004
95 3 978588635 0.004
5 4 1097885413 0.004
11 4 1037163506 0.004
13 4 1030530658 0.004
14 4 999731316 0.004
16 4 1016618838 0.004
17 4 1048079660 0.004
18 4 979784813 0.004
28 4 946586637 0.004
33 4 962108230 0.004
43 4 938301029 0.004
46 4 1054123006 0.004
49 4 945099251 0.004
51 4 960874819 0.004
53 4 939015745 0.004
56 4 947256584 0.004
62 4 986669429 0.004
67 4 925569641 0.004
68 4 962256919 0.004
71 4 937945470 0.004
83 4 998489407 0.004
93 4 919992284 0.004
96 4 1052469987 0.004
